Date,CS_Momentum,BuyHold_SPY
2019-06-28,0.9094448428469583,1.121178359518529
2019-07-01,0.9205726587280352,1.1313568785669075
2019-07-02,0.9351807854181701,1.1343032919756486
2019-07-03,0.934004954411363,1.1433717920348292
2019-07-05,0.9193262456220442,1.1420711091441482
2019-07-08,0.9243625510165243,1.1357956679926515
2019-07-09,0.9209871266648986,1.1372114954122305
2019-07-10,0.9167320746650861,1.142644901992065
2019-07-11,0.9129282528267224,1.14532358828948
2019-07-12,0.9104097619023369,1.1504513150920388
2019-07-15,0.917500056777923,1.150834058079158
2019-07-16,0.9244694325352542,1.1471220300430736
2019-07-17,0.9287288940356517,1.1393158742493097
2019-07-18,0.929657320773073,1.1434868079106226
2019-07-19,0.9287525966517913,1.137135075467912
2019-07-22,0.9243298247434583,1.1399282630287004
2019-07-23,0.9261324573085902,1.1480789518374241
2019-07-24,0.9257119856152395,1.153474277098204
2019-07-25,0.9326759887712213,1.1479643219209459
2019-07-26,0.9334517705021276,1.1556552045327069
2019-07-29,0.9406126513317037,1.153550697042523
2019-07-30,0.9367201363627726,1.15071942816268
2019-07-31,0.9336049741770588,1.1381296926220026
2019-08-01,0.9541412595975032,1.1282190293380547
2019-08-02,0.9449778645634246,1.119723936167476
2019-08-05,0.9194732168449812,1.0860506584465914
2019-08-06,0.9265634098379563,1.1012802270470001
2019-08-07,0.9279931872447131,1.1019306971454454
2019-08-08,0.9416647515322499,1.123550336813829
2019-08-09,0.9334660209881518,1.1158974068680179
2019-08-12,0.9225459497584767,1.1023131828263548
2019-08-13,0.9342893440697817,1.1194563377092548
2019-08-14,0.9085640535608155,1.086356466876972
2019-08-15,0.9017607223929264,1.0892264603413944
2019-08-16,0.9172680318583285,1.1052980635134653
2019-08-19,0.9324142772290712,1.1186140458313825
2019-08-20,0.9237022600775605,1.1100430473289047
2019-08-21,0.9360290197224084,1.1190734660690307
2019-08-22,0.937333826862899,1.1187289330540708
2019-08-23,0.9102032097910909,1.0899915603563182
2019-08-26,0.910667454085415,1.102045327061924
2019-08-27,0.9026732040749949,1.0977211675526584
2019-08-28,0.9016800480142927,1.1054514180145232
2019-08-29,0.9105492381600463,1.1195707103195238
2019-08-30,0.9089647545916161,1.1190734660690311
2019-09-03,0.8902405085908802,1.1125302978062084
2019-09-04,0.8779199710583835,1.1251576000535208
2019-09-05,0.8730092948602047,1.1396225832514253
2019-09-06,0.8678732246125082,1.1405023131828274
2019-09-09,0.8471943795946495,1.1410762346838488
2019-09-10,0.8387373723331467,1.1408085075725227
2019-09-11,0.8454258153955401,1.1489206004497723
2019-09-12,0.8490314130279168,1.1529006129033927
2019-09-13,0.835487944450463,1.1521349982760494
2019-09-16,0.8083657521082636,1.1485761960879173
2019-09-17,0.8243186902974053,1.151484528177604
